[00:00] (背景音乐：轻快的吉他旋律)
[52:05] [主播]：我觉得OTA的这个会员体系应该最，也不是说最早啦，就是说首先把这个东西拉上来的好像还是飞猪。
[52:13] [主播]：我感觉它的F3、F4的这种体系，然后给它提供大量的权益，是不是应该比携程早？
[52:19] [主播]：因为我早期携程我感觉什么白金并没有什么太大的。
[52:23] [嘉宾-Cindy]：飞猪跟携程不太是一个模式的东西，飞猪就像一个天猫一样，它其实是各个品牌去那儿开店的。
[52:31] [嘉宾-Cindy]：就是它在因为OTA有四种模式，要不然你介绍一下。
[52:35] [嘉宾-Cindy]：就是OTA有不同的模式。
[52:36] [主播]：就是Cindy的这个主战场。
[52:37] [嘉宾-Cindy]：对，飞猪跟携程不太是一种东西。
[52:41] [嘉宾-Cindy]：我们应该，我忘了我们有没有在我们假期旅行的那一期有大概讲过，就比如说OTA它有大概三到四种模式啊。
[52:48] [嘉宾-Cindy]：我们比较常见的像携程、去哪儿、同程，它其实都算做同一类。
[52:56] [嘉宾-Cindy]：那这个呢，它就是就是平台型公司。
[53:00] [嘉宾-Cindy]：所有的酒店方也好，机票方也好，或者旅行社也好，都在它这个平台上做不是开店的模式，而是它在这儿怎么说呢？
[53:12] [主播]：首先这些平台本身没有买它的间夜嘛。
[53:15] [嘉宾-Cindy]：不是买的。
[53:16] [嘉宾-Cindy]：买的是吧？
[53:17] [嘉宾-Cindy]：这个是，这个有一个历史的发展，就是在过去的时候，尤其是Booking啊和Expedia，它们都是买的，买断间夜的。
[53:26] [嘉宾-Cindy]：但是买断间夜呢会有一个问题，就是我自己承担了这个间夜的风险。
[53:31] [嘉宾-Cindy]：所以呢到后来就慢慢地发展成为我其实给你之间的间夜的购买是非常的松散的。
[53:39] [嘉宾-Cindy]：就比如说我跟你签了一个合同，我要你这个酒店一共100间房，但是你的50间房都是要在我这售卖的。
[53:45] [嘉宾-Cindy]：但这个成本我并不承担，我卖多少，算多少。
[53:49] [主播]：那这个，这个买有什么意义呢？
[53:52] [嘉宾-Cindy]：就是这个目的是为了让你的这个渠道留在我这边。
[53:56] [主播]：对，但我觉得对于酒店来说，你虽然我们签了一个合同，但是你也不承诺我能够卖出去，对吧？
[54:02] [主播]：那没卖也没有什么惩罚。
[54:06] [嘉宾-Cindy]：没有惩罚。
[54:07] [嘉宾-Cindy]：对，但这个就是越分散的行业，就是平台型的话语权就会越强嘛。
[54:14] [主播]：那当然，对。
[54:15] [嘉宾-Cindy]：对，所以所以你看像携程啊、Booking啊，它们都是从酒店起家的，就是因为酒店行业要比上机票的这个资源，它要分散的特别的多。
[54:24] [嘉宾-Cindy]：所以这个时候平台它有非常强的话语权去做这件事情。
[54:28] [嘉宾-Cindy]：那包括以前如果是这种很强绑定的买断的这种方式，OTA它自己承担的风险就特别大了。
[54:35] [嘉宾-Cindy]：所以它可能它就慢慢地就会往这边去转。
[54:41] [嘉宾-Cindy]：嗯，然后飞猪就是一个开店的模式。
[54:43] [主播]：对，飞猪就是开店的模式。
[54:43] [嘉宾-Cindy]：对，飞猪就是非常典型的它跟上游的资源的连接都不是很紧密的这样的一个平台。
[54:50] [嘉宾-Cindy]：然后我能卖多少都是依靠我这个旗舰店，我自己的投放能够投放多少，我能够卖出去多少。
[54:57] [嘉宾-Cindy]：但是像携程它其实是一个完全平台主导型运营的这样的一个机制。
[55:04] [主播]：哎，我感觉海外的OTA好像没有飞猪这种模式吧，有吗？
[55:08] [嘉宾-Cindy]：呃，比较类似的其实是Airbnb。
[55:11] [主播]：啊。
[55:11] [嘉宾-Cindy]：但是Airbnb又是另外一。
[55:12] [主播]：对，它就走的不是酒店的这个。
[55:14] [嘉宾-Cindy]：对，它就是非标型的民宿了，而且它的收费方式也跟国内的不太一样。
[55:20] [嘉宾-Cindy]：你像携程它其实是向商家收费，我买的是你一个渠道的一个费用。
[55:26] [嘉宾-Cindy]：但是Airbnb呢它其实是像双向的，它其实大部分是向住客收费，它向房东收费都非常少。
[55:34] [嘉宾-Cindy]：它就有一点点像我们国内的增值税。
[55:37] [主播]：对对对。
[55:38] [嘉宾-Cindy]：就是对对对，就是我在你的这个房价之上，我需要向这个购买方去支付一定的清洁费，加上我的增值税，就是我的OTA来自Airbnb的一个收费。
[55:51] [主播]：除了这两个模式还有别的模式吗？
[55:53] [嘉宾-Cindy]：其实就是早期的去哪儿也不太一样，早期去哪儿是一个信息聚合平台嘛。
[55:59] [嘉宾-Cindy]：对，但是那些都慢慢的已经转到了现在携程的这个模式了，就最开始我们说两到三个模式是因为有一方它可能是买断为主，另外一方它可能是平台型为主，它会有一点不一样。
[56:12] [嘉宾-Cindy]：那做的不太好的其实就是海外的Expedia，它可能还是以买断的形式为主的。
[56:18] [主播]：为什么说它做得不太好呢？
[56:20] [嘉宾-Cindy]：这个我觉得是区域性的原因，就是它主要的战场应该是在美国，然后美国它可能酒店它连锁化率又非常的高嘛，对吧？
[56:28] [嘉宾-Cindy]：然后它可能话语权就不是特别的强了。
[56:31] [嘉宾-Cindy]：但是你像Booking它是在欧洲起家的，但是欧洲的酒店它遍地是小酒店，然后它的区域又非常的，分，它不是一个大的一个区域。
[56:41] [嘉宾-Cindy]：所以在这个时候它的话语权就能够做得比较强，所以在这两家可以看到它们的走势也不太一样。
[56:48] [主播]：对，就为什么我们聊这么OTA其实也跟今天的主线还是有关系的，大家不要觉得我跟今天的会员体系没有关系。
[56:55] [主播]：是因为我再来之前就跟猫草老师聊，我说我很好奇的一个话题是为什么日本明明积分体系特别的繁荣。
[57:05] [主播]：如果你是旅游可能没有这个感受啊，你在那里生活的人，你手上可能有一大堆的积分的App，从乐天到什么这个T-point，然后再到等等的这些。
[57:16] [主播]：你到任何地方都可以积分，它都会有所谓的返还原，也就是所谓返返现。
[57:21] [主播]：但是日本的酒店集团去做这种积分体系跟会员体系的反而很少的。
[57:29] [主播]：就是可能比起...
[57:30] [嘉宾-Cindy]：欧美。
[57:30] [主播]：对，比起中国还要少，但是呢我后来去问了问AI，包括查了查资料，我发现其中一个非常重要的原因就是因为OTA。
[57:38] [主播]：就是因为在日本，直到现在为止，依然OTA占据了整个酒店预定的大头，其实我自己在日本玩的时候，以前在中国生活的时候我会用Jalan，就是JALAN。
[57:51] [主播]：它是一个有中文界面的这样一个预定网站，那我现在在日本生活，懂了一些日语之后我就用一休，也是订酒店的。
[58:00] [主播]：所以你会发现就算你上到这个酒店的官网，你真正点了预定之后，它依然大概率会跳到一个OTA上面去。
[58:10] [主播]：当然这个OTA就可能不是我刚刚说的一休或者Jalan，它可能是一个更加隐藏在后面的，但至少不是这个酒店自己做的一个预定系统。
[58:20] [主播]：所以因为这些OTA过于发达，就导致第一酒店没有动力，第二它也不能做，因为如果你的，当你的间夜有80%都来自于OTA的时候，你就不愿意去跟他产生一个抗争，甚至我怀疑这些OTA会不允许他们去发展出一个比较。
[58:39] [嘉宾-Cindy]：可能会反驳。
[58:40] [主播]：对，丰富的会员体系。
[58:41] [嘉宾-Cindy]：嗯。
[58:41] [主播]：就好像我觉得航空当年的去做直销，曾经也遇到过这样的问题，其实是会有跟OTA之间的一些斗争的往来的。
[58:51] [嘉宾-Cindy]：而且因为OTA，就O是online嘛，是线上的，线上的就意味着它的整个出打，它是个流量入口。
[58:58] [嘉宾-Cindy]：它的触达是比线下的那些小网点要大得多的。
[59:03] [嘉宾-Cindy]：航空公司当年的票代，什么前代后代，其实很分散，你像上市的有一个公司是叫腾邦，这公司现在已经完全不叫这个名字了。
[59:13] [主播]：上个时代的眼泪啊。
[59:14] [嘉宾-Cindy]：对对对，它其实它非常分散，它已经是很大的票代了，但是比起航空公司来说，它也就是九牛一毛。
[59:21] [嘉宾-Cindy]：OTA不一样，就是你今天的Booking，携程，其实没有哪个单家的酒店可以跟他们抗衡。
[59:29] [嘉宾-Cindy]：所以，而且OTA收费是特别贵的。
[59:32] [主播]：是吧。
[59:32] [嘉宾-Cindy]：你猜猜OTA要向酒店收多少钱？我打个比方你订了一个房间1000块钱这个间夜，含税1000块钱，你猜OTA要收多少钱？
[59:41] [主播]：100到150。
[59:43] [嘉宾-Cindy]：嗯，还是大体准确的。
[59:44] [主播]：大体准确。
[59:45] [嘉宾-Cindy]：大体准确的。中国会少一些，中国的整个Take Rate大概能在8个点左右，但是海外能到15个点以上。
[59:52] [主播]：那就真的是非常贵。
[59:53] [嘉宾-Cindy]：非常贵。
[59:54] [嘉宾-Cindy]：嗯。
[59:54] [嘉宾-Cindy]：然后你像Airbnb的话，它像住客收费是12%，向房东收费是3%。
[06:02] [主播]：那加起来也是15点。
[06:03] [嘉宾-Cindy]：对，但是很多时候它会因为为了吸引房东到它这儿来注册嘛，所以可能房东那一部分是会更低一些，会，而且甚至可能会免费。
[06:13] [主播]：所以你可以想象就是这些连锁酒店当它用自己的会员体系去回馈它的会员的时候，它的上限其实就可以跟这个OTA对它的收费做一个比较，对吧？
[06:23] [主播]：就是只要我不超过10%到15%的这个线，其实我都能把这个账算过来。
[06:29] [嘉宾-Cindy]：没错。
[06:29] [主播]：对吧？它，你就是我是一个这样的会员，我就应该在这个酒店里有早餐，你至少要给我一份早餐，我至少能拿到这样的5%的积分，甚至有的会细到像一些希尔顿这些最典型的就是在海外有些酒店没有饮用水。
[06:42] [主播]：那如果你是这个级别的会员，我会给你两瓶水。
[06:46] [主播]：就就类似这样的一些体验，它其实锁到下线。
[06:48] [主播]：那是因为这些连锁酒店它没有办法去提供一个非常非标准化的，就是给你一个让你觉得惊喜的这种体验，就是它打开这个上限。
[06:57] [主播]：但对于一些更加度假型的酒店，它可能就可以利用店长自己的一些体察、观察，包括它的服务团队的一些观察，给你打开上限，那它反而就不需要这个积分体系在这里。
[07:11] [主播]：我我的感觉可能优这方面的一个原因啊。
[07:12] [嘉宾-Cindy]：有可能。
[07:13] [嘉宾-Cindy]：我上一次住一家东南亚的酒店，我印象非常深刻的一点就是当我要出去吃东西的时候，我不知道附近有什么好吃的，然后我就问那个酒店的小哥。
[07:23] [嘉宾-Cindy]：那个小哥就给我，给我们列举了当地有不同类型的好吃的，直接列了个单子给我们，这是其一。
[07:31] [嘉宾-Cindy]：其二是它甚至告诉我，说如果你要去吃那一家海鲜，它会帮我们打电话给那个老板，然后那个老板开车来接我们。
[07:40] [嘉宾-Cindy]：然后甚至他说如果你们以后还想要回来，不想要打车的话，也可以让那个老板给我们送回来。
[07:47] [主播]：哎，对。
[07:47] [主播]：我觉得这个东西就非常非常非标。
[07:48] [主播]：所以我，我觉得酒店行业其实是一个很难做的行业，就是特别是如果往度假这边去走，因为大家对度假酒店的要求会比较高嘛。
[07:54] [主播]：那这种非标的东西你只能用SOP锁住下线，但是你像Cindy你，你接受到这种服务，我，我相信应该不至于在他的SOP里面有写这么细，对。
[08:04] [嘉宾-Cindy]：就肯定没有。
[08:05] [主播]：所以，所以就是我感觉酒店行业的经营者为什么这么重运营的一个业态的。
[08:11] [主播]：那今天其实我们聊关于酒店的会员体系和忠诚体系其实最开始我的想法只是在想说我们为什么要对一个酒店集团忠诚。
[08:24] [主播]：那酒店集团为什么要用这种东西来吸引一批忠实的客户，我觉得这是一个挺值得去有一点心理学，然后有一些商业的故事在里面。
[08:37] [主播]：那可能这期节目呢，大家听起来，特别是在经济下行期，会有些觉得怎么说，离日常生活有点远。
[08:49] [嘉宾-Cindy]：我觉得这件事情离日常生活的远近，其实对我们来说它也同样远，但是你的日常生活不可能每天都在捡路边石，你总是在一年一度的想要抬头看一下月亮当中度过。
[09:05] [嘉宾-Cindy]：人得怀着一点期待才能向未来生活。
[09:09] [主播]：所以日本经常会说一个他们去度假的时候要讲究就是非日常嘛，就是我一定要跟日常生活能够拉开，拉开距离。
[09:18] [主播]：那希望我们今天这天聊，能再让大家拉开距离的时候能够想到酒店到底在赚大家什么钱，然后他再试图用什么样的方式给大家提供情绪价值。
[09:32] [主播]：这个是其实是想讨论的一个话题。
[09:36] [嘉宾-Cindy]：嗯，主要还是最后祝愿一下大家都能在每一年吧，获得自己的非日常体验。
[09:43] [主播]：对，不一定是一个奢华酒店，甚至是是一个度假酒店。就希望大家都能找到自己的这个非日常的时刻吧。
[09:51] [嘉宾-Cindy]：对，能找到一个抬头看月亮的时刻。
[09:54] [主播]：好，谢谢大家，谢谢猫草老师跟Cindy，我们下次有机会再聊。
[09:58] [嘉宾-Cindy]：好，拜拜。
[10:00] [主播]：拜拜。
[00:00] (背景音乐：轻快的吉他旋律)
[00:11] [主播]：大家好，欢迎来到我的播客节目《起朱楼宴宾客》，我是大卫翁。
[00:15] [主播]：这期节目是我在深圳和远行者与碎冰酱的主播猫草，还有Cindy老师进行的一期串台。
[00:22] [主播]：他们两位之前都是劝让研究所负责消费行业研究的分析师，甚至Cindy的专攻就是酒店行业。
[00:30] [主播]：所以我们从酒店的会员体系聊起，还穿插了很多关于酒店盈利模式以及OTA，也就是像携程飞猪这样的酒店集合预订平台的讨论。
[00:41] [主播]：不过在剪辑和回听的过程中，我发现我们可能更多聚焦在了这个行业的一般发展规律上，并没有对中国酒店行业目前的困境，以及更加广泛的我们这些普通人的住宿需求进行讨论。
[00:55] [主播]：所以呢，大家听起来可能会有一点觉得和现实脱节。
[01:00] [主播]：那正好，在剪辑的这几天呢，我读到了一篇酒店行业的公众号写的文章，标题是《北京住宿业下滑为何如此夸张》。
[01:10] [主播]：里面探讨了上半年北京酒店行业为何整体利润会暴跌90%以上。
[01:16] [主播]：我会把这篇文章的链接放在Shownotes里面。或许，是对节目里那这些内容的一个比较好的补充。
[01:22] [主播]：那关于文中讨论的酒店行业的收入端是如何减少的，而支出端又是刚性的这些暂且不论。
[01:30] [主播]：这篇文章里面一段文字是在说，现在国内消费者仍然旅行、打卡、出差，但却更倾向于临时决策、短平快走。
[01:40] [主播]：他们并不反对贵，但不能感觉不值。
[01:43] [主播]：而这也不仅仅是住宿业的问题，是一种群体性的观望行为。
[01:48] [主播]：酒店只不过作为这个链条最末端的行业，是消费者最晚被决策、最早被砍预算的环节，所以自然而然就成了这轮信心缺失的嫌疑指。
[01:59] [主播]：我觉得这段话确实写得很好，是目前国内酒店业，也是旅游业遇到的很多困境。
[02:05] [主播]：但是呢，从海外酒店行业的发展历程来看，大家都是这样在周期的风口浪尖上一轮一轮的经受洗礼。
[02:13] [主播]：而我们现在看到的这些全球大酒店集团为什么采取这种轻资产的运营模式，以及他们的会员体系为何会如此的丰满，也是在这个过程中进化而来的。
[02:25] [主播]：那希望中国的酒店行业未来也能跑出几家开遍全球的连锁酒店集团，而不是像日本的这些酒店一样，只是偏安一隅。
[02:35] [主播]：那最后必须要说的是呢，我们在聊的过程中其实还谈了一些对于度假酒店的理解。
[02:40] [主播]：但因为更不接地气，所以我就直接把它们从正片里删掉了。
[02:45] [主播]：我会放在“犬生活”里面，感兴趣的朋友可以移步收听。
[02:49] [主播]：好，铺垫了这么多，那接下来就请收听这期节目的正式部分吧。
[02:54] (背景音乐渐弱)
[02:59] [嘉宾-猫草]：大家好，我是Neko，我们今天在一个暴雨天线下，进行一期非常乌托邦的串台。
[03:07] [主播]：哈哈哈哈，大家好，我是《起朱楼宴宾客》的主播大卫翁，今天终于跟猫草老师和Cindy面基了。
[03:15] [嘉宾-Cindy]：对，第一次线下面基。
[03:17] [主播]：是的，是的，是的。
[03:18] [嘉宾-Cindy]：嗯，而且我本身也是大卫翁老师忠实的听众，所以相当于是粉丝见面。
[03:22] [嘉宾-猫草]：对，声音粉。
[03:24] [主播]：然后我是猫草老师多年的公众号读者，所以也是粉丝见面。
[03:29] [嘉宾-猫草]：加了我第一件事就是告诉我说你东西写得没有以前有意思了。
[03:34] [主播]：对不起，对不起，这是一种分，来自于粉丝的鞭策。
[03:37] [嘉宾-Cindy]：没关系，我接收到了。
[03:39] [主播]：这期的缘起是我跟猫草老师说，因为我正好要回国，然后到深圳来嘛，我们来串个台的话录什么，就聊什么。
[03:48] [主播]：虽然猫草老师很想跟我聊日本，但是我最近聊日本聊的有点太多了。
[03:52] [主播]：有点审美疲劳，所以我说，“哎，我们来聊一些跟消费相关的话题吧。” 因为猫草老师也做了很多年的消费分析师，包括Cindy也是。
[04:02] [主播]：对，跟起朱楼的朋友们介绍一下，江东猫草老师和Cindy老师都是原来业内这个资深的消费分析师。
[04:13] [主播]：对，然后呢，现在的这档节目叫做...
[04:16] [嘉宾-猫草]：远行者与碎冰酱。
[04:18] [主播]：真的好难记，你知道吗？
[04:19] [嘉宾-Cindy]：暴露了我们的塑料友谊对不对？
[04:22] [主播]：真的很难记。我的节目叫什么？
[04:24] [嘉宾-猫草]：起朱楼宴宾客。
[04:25] [主播]：啊，可以可以，因为经常会有人叫成起高楼宴宾客。
[04:29] [嘉宾-Cindy]：还有犬生活。
[04:31] [主播]：哦，谢谢谢谢Cindy。
[04:32] [嘉宾-猫草]：而且我也是你的公众号的资深粉丝。
[04:34] [主播]：是吧，可惜我现在都不是说文字写得越来越差了，我是干脆不写了。
[04:39] [主播]：干脆弃更。
[04:40] [主播]：所以说聊聊消费相关的话题，有一个话题其实我一直想找人来聊，就是关于酒店，然后特别是它的积分体系。
[04:48] [主播]：因为我是一个古早年间就开始痴迷于住各种酒店，从最早的商务酒店到后来的度假酒店。
[04:56] [主播]：我来之前看了一眼，我的万豪现在是700多万。
[05:00] [主播]：凯悦大概也有500万。
[05:02] [嘉宾-Cindy]：那也就是说，大老师每一年住在万豪有30到40个晚上。
[05:08] [主播]：真的，以前不止。
[05:10] [嘉宾-猫草]：我这一下我就感觉明显到了经济上。
[05:13] [嘉宾-猫草]：和我们这样的。
[05:15] [主播]：那有没有，只能说明出差狗，就是早年比较辛苦，对，然后...
[05:18] [嘉宾-Cindy]：只能说明早年金融行业的出差标准还挺高的。
[05:22] [主播]：对啊，这个猫草老师是知道的。所以这个话题，原来因为不知道从什么角度来切入它比较好。
[05:30] [主播]：然后跟猫草老师碰了一下，就觉得这个积分，包括会员体系，其实它涉及到很多很有趣的就是话题。
[05:38] [嘉宾-猫草]：没错。
[05:39] [主播]：包括这个心理学，就是为什么酒店要搞这种忠诚计划，对吧？
[05:43] [嘉宾-猫草]：大老师当时就说，哎呀，这个发代币这事不就是航空和酒店两个系统玩丢的吗？
[05:50] [主播]：对啊，就现在大家讨论比较多的像稳定币啊，这些东西的话，其实这个背后的整个逻辑在酒店行业，在航空这个行业都上演过一轮又一轮。
[06:01] [主播]：我们今天可以聊一聊两个里面，当然我知道肯定有异同嘛，就这个时候可能有一些Web3的从业的朋友可能会说“什么，就完全不一样嘛，对不对？这个没有分布式，又没有这个酒店集团想把你积分扣掉就扣掉了”，对吧？
[06:14] [主播]：但是有一些吧，从我们使用者的角度开始看，我觉得还是有一些可以去类比，跟大家聊一点。
[06:21] [嘉宾-猫草]：或者宽泛的说，我们可能也会聊一聊酒店这个东西，它为什么天然的是大集团、多品牌，然后要去做会员体系这回事。
[06:30] [嘉宾-猫草]：因为大家会知道酒店行业在2016年的时候发生了一件非常大的事情，就是当时万豪，全球第一大的酒店连锁，并购了喜达屋。
[06:38] [嘉宾-猫草]：而喜达屋的会员体系呢是公认的这个业内做得最好的。
[06:42] [主播]：是的是的。
[06:43] [嘉宾-猫草]：所以当时的万豪的房间数一下就串升到了全球第一。这个东西呢对于它的整个会员体系，会员忠诚有非常大的影响。
[06:51] [主播]：对，我早年就是从喜达屋入圈，就是最早就是住喜达屋。
[06:56] [嘉宾-Cindy]：最早的SPG粉丝。
[06:57] [主播]：对，然后突然有一天被万豪收了之后，其实当时喜达屋的粉丝们都非常的失望的。
[07:03] [主播]：因为万豪在我们看来就是一个特别中规中矩，然后没有特色，每间酒店长得都一样的一个商务型的这个连锁品牌。
[07:11] [嘉宾-猫草]：没错没错，万豪比较中庸。
[07:13] [主播]：对，然后但是喜达屋其实是千姿百态，非常有意思的，从它的会员计划到它的酒店的这些单体酒店的品牌。
[07:22] [主播]：所以当时其实是一片哀嚎。
[07:24] [嘉宾-猫草]：嗯。
[07:25] [嘉宾-Cindy]：是这样的，所有的扩圈，原来的忠粉都会感觉到很不爽。
[07:29] [主播]：对，然后你就会感觉原来最进取的，然后最有这种进攻姿态的人，最终还是会被一个相对保守，但是更加稳扎稳打的这种吞并掉，对。
[07:41] [嘉宾-猫草]：都是资本的错。
[07:42] [嘉宾-Cindy]：都是大资本的错。
[07:44] [嘉宾-Cindy]：而且你像现在万豪酒店，我看了一下最新的数据吧，因为2016年收购喜达屋之后，确实已经成为了世界第一大酒店集团嘛。
[07:55] [嘉宾-Cindy]：到目前为止，它现在已经有9000多家酒店了，所以这个数量在全球范围内都非常非常的大。
[08:01] [主播]：是的是的，是的是的。
[08:02] [主播]：我觉得可能听这期节目的朋友有一些住过连锁酒店，有一些因为现在中国的这些连锁酒店也非常强。
[08:09] [主播]：大家可能住亚朵啊，住华住啊，都比较多一些，反而对国际连锁，因为我像人在日本嘛。
[08:15] [主播]：日本的国际连锁就其实相对比较少，我觉得中国现在越来越像日本，就它本土的酒店在崛起。
[08:23] [主播]：我印象中，我不知道这几年两位是不是也在研究酒店行业了，就是当时就在类比嘛。
[08:30] [主播]：就什么时候亚朵跟这个华住，当时有一个大扩张时期，包括锦江，去做并购，然后把很多的国际的这个酒店都给这个吃下来。
[08:40] [嘉宾-猫草]：对对对，有一些品牌被买过来或者是联合经营了。
[08:44] [主播]：是的是的。
[08:44] [嘉宾-猫草]：但是中国的契机和日本还是不太一样的地方在于，中国发展的时间比较晚嘛。
[08:49] [嘉宾-猫草]：所以90年代当这些大酒店大举地进入中国的时候，我觉得一开始他们也主打了一个涉外市场。
[08:56] [嘉宾-猫草]：因为在国内一个酒店有没有涉外资质是有差异的。就比如你在北京住到的一些酒店你可能会觉得老外特别特别集中，是因为在北京有涉外资质的酒店本身就没有那么多，就是接待外国人本身就是需要资质的。
[09:11] [嘉宾-猫草]：所以最早就是一些口岸的、开放的、样板型的城市，慢慢地有了涉外酒店。
[09:16] [嘉宾-猫草]：而外资集团呢往往会绑定在某个酒店的常旅客计划里面。
[09:20] [主播]：是。
[09:21] [嘉宾-猫草]：所以很多外资集团的雇员，他会习惯到了一个地方，就要去住这个酒店。
[09:25] [嘉宾-猫草]：所以呢，我觉得最早的好物业，尤其是一些涉外的高档的所谓五星酒店，就被这些外资的大集团给盘下来了。
[09:35] [主播]：我，我不知道两位最早最早，不管是住也好或者说进这种国际连锁酒店的印象是什么？
[09:43] [主播]：因为我，我是小时候，大概90年代，当时我在深圳生活，然后被一个就是，就是刚才猫草老师说的，是一个亲戚，这个亲戚一直在美国工作，在一个大的金融公司，他回国出差的时候就叫我们家一家人去吃饭，然后我就上了深圳当时最高的那个香格里拉。
[10:04] [主播]：当时就是第一家香格里拉，老香格里拉，然后是一个旋转餐厅，我印象特别深。
[10:08] [嘉宾-猫草]：嗯。
[10:09] [主播]：当时旋转餐厅，对吧？就这种...
[10:11] [嘉宾-Cindy]：对对对，就是...
[10:11] [主播]：顶级的，然后...
[10:13] [嘉宾-Cindy]：震惊了。
[10:13] [主播]：是是是。最搞笑的是，当时这个事我自己已经不记得了，是我父母后来告诉我的，说我那天在自助餐，因为它自助餐嘛，吃得最多的是它的茶叶蛋。
[10:22] [主播]：我妈就说“你为什么这么没有出息？” 我说“但是它的茶叶蛋真的很好吃”，就是没有吃过这么好吃的茶叶蛋。
[10:28] [嘉宾-猫草]：我和大老师非常接近。
[10:30] [嘉宾-猫草]：我是三线城市过来的，还不是在深圳。最早的时候，是地产商为了卖房子，然后配套运营了很多高端酒店。
[10:39] [嘉宾-猫草]：他们的这种运营高端酒店往往会把运营的资质交给一个大的五星酒店集团，因为他通过这种办法，一方面是方便招商，另外一方面是在拿地方面他会有一些优惠。
[10:50] [嘉宾-猫草]：所以最早我跟五星酒店有一些近距离的接触都不是因为住店，而是因为吃饭，也就是吃自助这个环节。
[10:58] [嘉宾-Cindy]：我觉得我跟两位的绳索完全脱节。
[11:01] [嘉宾-Cindy]：我就非常。
[11:02] [主播]：主要没有，你主要是年龄跟我们脱节。
[11:04] [嘉宾-Cindy]：我非常的牛马，我觉得我第一次参观五星级的酒店就是我们开策略会的时候。
[11:12] [主播]：啊，对，当年券商的，不现在也应该是，对吧？就是一开策略会一定是去一个五星酒店。
[11:19] [嘉宾-Cindy]：嗯，是的，而且你像我们当时的拆标其实是没有办法资助我们这样层级的小员工去住到五星级的酒店了。
[11:26] [主播]：我们这样的层级也没有。
[11:28] [嘉宾-Cindy]：我们就只能，就是维持在华住呀，亚朵，最多就是亚朵了，然后更下其他小一些的连锁酒店了。
[11:37] [嘉宾-Cindy]：而且我这边给大家提供一个小小的背景啊，就是其实大老师前面有讲到说海外的连锁酒店跟国内的连锁酒店它其实发展的不太一样嘛。
[11:47] [嘉宾-Cindy]：我们这边提供给大家一个数据，就比如说国内现在整体的连锁酒店它的连锁化率大概可能是在40%出头。
[11:57] [主播]：我觉得挺高的，比比我想象中高。
[11:59] [嘉宾-Cindy]：对，40%左右吧，这两年其实发展得特别快，因为有非常多的小酒店它其实是倒闭了的。
[12:04] [嘉宾-Cindy]：就是因为疫情的这个影响。
[12:06] [嘉宾-猫草]：它会翻牌进入到一个连锁酒店系统里面。
[12:09] [主播]：是。
[12:10] [嘉宾-Cindy]：对，这几年尤其是近五年，基本上连锁酒店连锁化率是一个非常大的越升，可能提升了10%左右。
[12:18] [嘉宾-Cindy]：在此之前呢，其实我们在做券商行业研究的时候都会问一个问题，中国它的连锁化率到底会走到什么程度？
[12:28] [主播]：对。
[12:28] [嘉宾-Cindy]：然后这个时候我们会做特别多的对标，那像万豪呀，凯悦呀，这一些它可能属于美国系的一些酒店。
[12:37] [嘉宾-Cindy]：美国连锁化率因为Reits非常的发达，所以它会到70%左右。
[12:41] [嘉宾-Cindy]：但是欧洲非常的不同，它只有30%到40%左右的连锁化率。这个我们当时其实有讨论过非常多这方面的问题。
[12:50] [主播]：嗯，这个我们回头可以在中间慢慢地聊，我觉得应该是个蛮有趣的区别。包括日本为什么连锁率，日本的连锁率应该是我觉得应该是高的。
[13:00] [主播]：就是说我说是商务型的，但是呢没有诞生出真正大的国际型的连锁，也是一个蛮有趣的话题。
[13:08] [主播]：我们现在拉回来，先讲这个会员体系啊，反正我们查了一些资料。
[13:11] [主播]：我我看到最早的酒店业的这种会员忠诚计划应该是从80年代开始的，它其实是受航空公司的常旅客计划成功的一个启发。
[13:22] [主播]：也就是说酒店业在最早是没有这个概念的，他们可能。
[13:27] [嘉宾-猫草]：是航空业先有了积累里程，然后酒店一看，那我的间夜也是可以积累的。
[13:32] [主播]：对，但是我当时看到这个我就在想，其实我感觉酒店业比航空业更需要这个东西。
[13:38] [嘉宾-猫草]：为什么这么说？
[13:39] [主播]：为什么呢？因为你想会员计划最核心的是什么？是吸引一批人，就是因为有了这个计划，所以我就住你这个酒店，对吧？
[13:46] [主播]：那每个人你不管是出差还是出去度假，你到了一个城市，到了一个地方，会有很多的酒店。
[13:52] [嘉宾-猫草]：没错。
[13:53] [主播]：但是你从一个地方移动到另外一个地方，你如果是坐飞机的话，很可能可选的这个航空公司是有限的。
[13:59] [嘉宾-猫草]：相对有限的。
[14:01] [主播]：相对有限的。所以酒店它的同质化竞争，我感觉啊，其实比航空要更严重。
[14:08] [嘉宾-猫草]：我赞同这个想法，就是我从直觉上会觉得一个城市里面可以有无数的酒店，然后甚至包括一个Location周围，它也可以有无数的酒店。
[14:18] [嘉宾-猫草]：而航空这个东西，无论你做了几等舱，它始终是从A地到B地这么一个过程。
[14:24] [主播]：是。
[14:25] [嘉宾-猫草]：就是它相对来说不可替代的，而且这个资源比较稀缺。
[14:29] [主播]：比较稀缺。
[14:29] [嘉宾-猫草]：但酒店完全不一样，所以酒店其实更需要有一个系统去吸纳它的会员，保证它的会员在反复地复购。
[14:37] [主播]：是的是的，是的是的。
